,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
8422,1578.4005409999997,-41.31448446092358,1578.4007460000003,-41.728130454260565,1578.4009385542163,-41.92343686044638,1578.4009350000001,-42.23724819050564,1578.4011000000003,-42.335572801782654,1578.4012450000005,-41.735024661792664,1578.3970550000001,-42.082411554242185,1578.3798500000003,-42.20643155599351,1578.3800299999998,-42.2066242718566
8423,1578.4016590000006,-41.114576583083505,1578.4018669999998,-41.308254757316,1578.4020554216875,-41.85198419775279,1578.4020650000002,-42.14156152265085,1578.402225,-42.08626439517947,1578.4023650000001,-41.70462605124048,1578.39812,-41.651993021320905,1578.38072,-43.376677215779054,1578.3808999999997,-42.07751566631021
8424,1578.4027299999998,-41.36912924911747,1578.4029469999996,-41.51190061093791,1578.4031301204823,-41.65780608169157,1578.4031250000003,-41.77766676188104,1578.4032950000005,-41.988185909333104,1578.403445,-41.58671145013142,1578.3991549999998,-41.76988146830036,1578.381655,-42.03280057599859,1578.3818150000006,-41.872117714886976
8425,1578.4037370000005,-41.36052138777458,1578.4039420000006,-41.48149565040386,1578.4041253012049,-41.492014075161464,1578.4041299999997,-41.58794716498025,1578.40428,-41.244001623630126,1578.4044299999998,-41.68382650068918,1578.40016,-42.366549463906175,1578.3826000000001,-42.377968776440355,1578.3827600000002,-42.48080389193211
8426,1578.404653999999,-41.354925004995664,1578.4048749999981,-41.6162519541008,1578.4050590361444,-41.91414410517471,1578.4050600000003,-41.872695766458335,1578.4052150000002,-42.09344548305914,1578.4053599999995,-41.176899799907304,1578.4010999999998,-42.22456052287988,1578.3836499999998,-41.803554868218455,1578.3837949999997,-42.58055688591209
8427,1578.405535,-41.35665891307937,1578.4057410000003,-41.82896740314618,1578.4059253012047,-41.842491589932536,1578.40593,-41.98491111996721,1578.4060849999996,-41.95960106520114,1578.4062250000002,-41.49325657265679,1578.4020150000001,-41.70462605124048,1578.3847100000003,-42.26904902963119,1578.384875,-42.20417899628853
8428,1578.4063529999996,-41.496748298355115,1578.4065569999998,-41.506172036074496,1578.4067385542178,-41.6171680655978,1578.4067349999998,-41.473080769676784,1578.406915,-41.77559377165779,1578.4070349999997,-42.55484067810397,1578.402885,-42.021833155121584,1578.3858200000004,-42.12381793948172,1578.385975,-42.136472966864744
8429,1578.4071419999998,-41.12616515810058,1578.4073339999998,-41.587674714978306,1578.407519277109,-41.81367208820926,1578.4075199999997,-41.42249457585084,1578.4077,-41.37657768639656,1578.4078250000002,-42.091599076396214,1578.403745,-41.77315625766628,1578.3869750000003,-41.75277473107493,1578.38715,-42.545845823804086
8430,1578.4078920000002,-41.44871472825137,1578.4080940000008,-41.53627450843423,1578.4082819277112,-42.09340527500813,1578.4082800000003,-41.306426381404705,1578.4084400000002,-41.89265804163525,1578.40859,-41.688696234491545,1578.4046,-41.565719231725986,1578.38817,-42.42184659137757,1578.3883649999998,-41.85761628084101
8431,1578.4086540000003,-41.43181015650673,1578.4088570000013,-41.67153161651745,1578.4090433734937,-41.837720213826636,1578.409035,-42.319011475885816,1578.4092150000001,-41.513060047676774,1578.409365,-42.00898545988443,1578.405455,-41.83538834758673,1578.3894550000002,-41.97225609258417,1578.3896399999999,-42.042632705672894
8432,1578.4094069999992,-41.370405710360274,1578.4096090000003,-41.69042483080297,1578.40979879518,-42.23147250185073,1578.4097949999998,-41.56120872751122,1578.40997,-42.008985459884435,1578.4101250000003,-41.65975216077195,1578.4063250000004,-41.79989469513531,1578.3907350000004,-41.96449695313311,1578.3909299999998,-42.455493837166046
8433,1578.4101969999992,-41.47491642112976,1578.4104019999986,-41.49255507589814,1578.4105891566253,-41.71428348772285,1578.41059,-42.279890290594025,1578.4107650000003,-41.43943352388832,1578.4109249999997,-42.23358801742251,1578.4072200000003,-41.717281078623515,1578.3920350000003,-42.13790134956772,1578.3922149999999,-42.52895257176655
8434,1578.4110120000012,-41.174513545101824,1578.4112350000019,-41.50857935087297,1578.4114204819284,-41.91341745130197,1578.4114149999996,-42.180104656371306,1578.4115799999995,-42.75863161805057,1578.4117350000004,-42.293123369548404,1578.4081250000004,-41.97553088195009,1578.39331,-41.65851644592312,1578.39349,-42.807630629016636
8435,1578.4118759999997,-41.42253548468395,1578.4120869999997,-41.599300272329664,1578.4122734939772,-41.714757517695716,1578.4122800000002,-41.780091220115324,1578.4124450000004,-42.180928833373315,1578.4125749999998,-41.93552672528391,1578.4090700000002,-42.425506764460714,1578.3945449999999,-42.24539271367392,1578.394725,-42.60402053401519
8436,1578.4128020000003,-41.1008642521363,1578.413015000001,-41.73011547227264,1578.4132036144579,-41.59288300891889,1578.4131900000002,-42.145221695733994,1578.4133650000003,-41.384144157993475,1578.4135249999997,-42.077901050027435,1578.41004,-41.93205150648731,1578.3957499999995,-42.403278831206435,1578.3959199999997,-42.40919156399454
8437,1578.4137339999995,-41.29131090792046,1578.4139520000003,-41.4077187331569,1578.4141445783127,-41.777677613366855,1578.4141300000001,-43.21560995966724,1578.4143,-42.5271061651036,1578.4144500000004,-41.88207600447546,1578.411005,-42.362921931065785,1578.39688,-42.4922232044663,1578.3970600000002,-42.418811197197975
